,Name,Price (in CAD),Link,,,,,,
1,PCB,$31.23,JLCPCB,,,,,,
,Arduino Pro Micro,$6,https://www.aliexpress.com/item/32846843498.html?spm=a2g0o.productlist.main.3.197232b8AfM6ff&algo_pvid=e76c96bb-b016-43db-9c34-8d52bbce9ac0&algo_exp_id=e76c96bb-b016-43db-9c34-8d52bbce9ac0-2&pdp_ext_f=%7B%22order%22%3A%221117%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%215.82%211.38%21%21%214.17%210.99%21%402101c5b217511483671288564eca8d%2166359327705%21sea%21CA%213075130259%21ACX&curPageLogUid=ZFDLwnG33cxY&utparam-url=scene%3Asearch%7Cquery_from%3A,,,,,,
,OLED 128x32,$3,https://www.aliexpress.com/item/1005005301005280.html?spm=a2g0o.productlist.main.1.6a4b6adeVmQufJ&algo_pvid=7472923b-41cf-407d-b425-a25c0e5c7b78&algo_exp_id=7472923b-41cf-407d-b425-a25c0e5c7b78-0&pdp_ext_f=%7B%22order%22%3A%221238%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%213.04%211.38%21%21%212.18%210.99%21%402103247417511484507088946efacb%2112000032548039884%21sea%21CA%213075130259%21ACX&curPageLogUid=aoXQ197SK8RL&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description,,,,,,
,3D printed case,$52.52,https://craftcloud3d.com/en/material/offer?materialId=0e379ece-53b6-5aa3-8cdf-7afce73c9873&finishGroupId=8011f7f9-8a99-55b3-989b-40d4babbd649&materialConfigId=9f0ebf71-1059-5aac-9e5f-7a696f4fcbdb,,,,,,
,keycaps (first time discount),$27,https://www.aliexpress.com/item/1005006200329301.html?spm=a2g0o.productlist.main.17.3f144d54IWFfw4&algo_pvid=d3da5403-813b-40e9-b3a1-3665eacd772a&algo_exp_id=d3da5403-813b-40e9-b3a1-3665eacd772a-16&pdp_ext_f=%7B%22order%22%3A%22129%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2132.86%2114.08%21%21%2123.34%2110.00%21%402101ea8c17507209741814895e95c4%2112000043031474456%21sea%21CA%213075130259%21ACX&curPageLogUid=D2UwlqdSg0RB&utparam-url=scene%3Asearch%7Cquery_from%3A,,,,,,
,switches,$24.52,https://www.aliexpress.com/item/1005008394917920.html?spm=a2g0o.productlist.main.1.645353acpb1uSd&algo_pvid=0f13a266-3646-45ba-9601-fa8c88c5af20&algo_exp_id=0f13a266-3646-45ba-9601-fa8c88c5af20-0&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2111.29%212.35%21%21%218.09%211.68%21%402103245417511474735238088eae82%2112000044841496191%21sea%21CA%213075130259%21ACX&curPageLogUid=mx57PwAEfzUi&utparam-url=scene%3Asearch%7Cquery_from%3A,,,,,,
,stabilizers,$12,https://www.aliexpress.com/item/1005006528731543.html?spm=a2g0o.productlist.main.1.64403b4bSXKdtR&algo_pvid=2a392ca5-f9b7-4640-a01c-664826ab7547&algo_exp_id=2a392ca5-f9b7-4640-a01c-664826ab7547-0&pdp_ext_f=%7B%22order%22%3A%22924%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2111.76%215.48%21%21%218.43%213.93%21%402103010b17511455687663518e23c7%2112000037543723481%21sea%21CA%213075130259%21ACX&curPageLogUid=qf7Fg803iAUK&utparam-url=scene%3Asearch%7Cquery_from%3A,,,,,,
,plate,$63.13,https://hypekeyboards.ca/products/custom-plate-cutting-service,,,,,,
,,,,,,,,,
TOTAL ,in CAD,in USD,,,,,,,
,$218.92,$159.80,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,plate,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,PCB,,,,,case
